time,XLE,XLB,XLI,XLY,XLP,XLV,XLF,XTL,XLU,XLK,XLRE
1999-12-31,15.7352162491,16.125404284,19.7393508431,23.8303521663,13.7416472374,22.3802291546,12.4953169134,,13.0213105472,42.0248812244,
2000-01-03,15.4273659497,15.7553329291,19.2260343909,23.1091502656,13.5745755385,21.9527660532,12.0274653336,,12.7020246809,43.2416372509,
2000-01-04,15.1369411389,15.603664341,18.6993850439,22.4186378075,13.1926973695,21.4528515788,11.5017894012,,12.3225835064,41.0499164595,
2000-01-05,15.3576639951,16.1132707969,18.6460534644,22.3495865616,13.3896033004,21.3948904803,11.5070461605,,12.586341396,41.0733156139,
2000-01-06,16.136002488,16.6653444575,18.8660462296,22.3956207255,13.6760119271,21.3296842445,11.9118166284,,12.6094780529,39.0999869298,
2000-01-07,16.3102573745,16.6532109705,19.5860225522,23.446734134,14.5471715002,21.5905091877,12.1063167234,,12.715906675,39.7785624062,
2000-01-10,16.1708534653,16.5986102787,19.5860225522,23.3316487243,14.2189949487,23.7930309303,11.8960463505,,12.762179989,41.2917077212,
2000-01-11,16.1940874502,16.277072872,19.3326975498,23.1244949869,14.2189949487,23.1627039842,11.6962894961,,12.6233600471,40.1217500034,
2000-01-12,16.1185769994,16.1618047451,19.1060383372,23.0631161017,14.2905971054,22.7787117067,11.9275869064,,12.4937947681,39.9501562048,
2000-01-13,16.3973848178,16.2285389238,19.4660264984,23.1858738721,14.3681661084,23.459754614,12.2903032998,,12.3781114832,40.3167429564,
2000-01-14,16.2986403821,16.1132707969,19.3326975498,23.1244949869,14.4159008796,23.249645632,12.5741683033,,12.4799127739,41.2449094125,
2000-01-18,16.5019377497,15.7249992114,19.3126982075,22.9940648559,14.1712601776,22.8221825306,12.1588843167,,12.4290121285,41.4633015198,
2000-01-19,16.4438527875,15.4216620353,19.2527001806,22.948030692,14.2726965662,23.3655678289,12.1168302421,,12.4382667913,41.5334989829,
2000-01-20,16.4438527875,15.0151902193,19.1260376795,22.6334639055,14.0757906353,23.1844393962,11.8960463505,,12.4937947681,41.7752902446,
2000-01-21,16.8969154923,15.081924398,18.8860455719,22.1654499061,13.9206526292,23.1409685723,11.7436003301,,12.9009999309,41.8298882714,
2000-01-24,16.2986403821,14.6815193255,18.34606333,21.3368349564,13.520873921,22.4454353904,11.5333299571,,12.7251613378,40.4649376006,
2000-01-25,16.2637894048,14.408515867,18.2394001711,21.4672650874,13.353802222,22.6048284113,11.6542354216,,12.4290121285,41.3229065937,
2000-01-26,16.0082155713,14.408515867,18.3860620146,21.6283846609,13.4731391499,22.5033964889,12.0905464455,,12.3688568204,39.9735553591,
2000-01-27,15.6829397832,14.4873835328,18.4860587261,21.5670057758,13.7237466983,22.3729840173,12.2219654286,,12.2901921867,39.5835694532,
2000-01-28,15.5028764005,14.2386470483,17.9994080636,20.7153737441,13.6103766168,21.9165403667,11.7961679233,,12.2254095471,38.1718204737,
2000-01-31,15.8630031659,14.153712639,18.1260705648,20.868820957,13.8609841652,21.8151084443,12.1220870014,,12.7899439774,39.4353748089,
2000-02-01,15.8281521886,14.408515867,17.9994080636,21.6283846609,13.7237466983,22.0976687995,12.1904248726,,12.6973973495,40.2699446476,
2000-02-02,15.9268966243,14.4752500457,18.0127409585,21.4826098087,13.7535809302,22.6410540978,12.0642626488,,12.6326147099,40.558534218,
2000-02-03,15.7352162491,14.2265135613,17.9994080636,21.5670057758,13.5626418457,22.8439179425,11.9906680183,,12.6094780529,41.7284919359,
2000-02-04,15.2821535443,14.2083133307,18.0727389854,21.4826098087,13.628277156,22.923614453,11.8697625538,,12.5446954134,42.2120744592,
2000-02-07,15.4564084308,13.9353098722,17.7594159561,21.0759746944,13.5387744602,22.5541124501,11.7436003301,,12.5076767622,42.7034567007,
2000-02-08,15.3228130178,13.898909411,17.8327468778,21.5516610545,13.7058461591,22.8004471187,11.8750193132,,12.5354407506,43.0934426067,
2000-02-09,14.8116653508,13.619839209,17.6460863498,21.1987324648,13.5865092313,22.3947194292,11.596411069,,12.5354407506,42.5552620565,
2000-02-10,15.1195156502,13.5106378256,17.3460962154,21.0069234486,13.1270620592,22.1991007218,11.2757487502,,12.3549748262,43.5692254119,
2000-02-11,14.9394522676,13.1769669318,16.9794416067,20.7000290228,12.8764545108,22.2135909965,11.3020325468,,12.1374902506,42.4148671303,
2000-02-14,15.1776006124,13.3953696986,17.2527659513,20.8151144325,12.9420898211,21.8006181697,11.401910974,,12.1559995762,42.4382662847,
2000-02-15,15.8107267,13.9717103333,17.5527560857,20.8611485963,13.2284984478,21.6339800115,11.417681252,,12.1236082564,42.5552620565,
2000-02-16,15.8804286545,13.6501729266,17.5127574012,20.0478783679,13.0435262097,21.0253884774,11.1811270824,,12.0727076111,42.3368699491,
2000-02-17,15.8630031659,13.619839209,17.5860883229,19.4724513194,12.8466202789,21.0108982028,11.0391945806,,12.0032976401,43.2884355596,
2000-02-18,15.4041319648,13.2073006494,17.1994343719,19.1809016149,12.6974491191,20.4312872179,10.6449376313,,11.5683284889,41.8298882714,
2000-02-22,15.2647280556,13.619839209,17.479425164,19.2269357787,12.9062887428,20.2863844716,10.7448160585,,11.5174278436,41.7284919359,
2000-02-23,14.8639418167,13.4681706209,17.3460962154,19.1655568936,12.6258469624,20.6051705133,10.7027619839,,11.2814339424,42.9998459892,
2000-02-24,14.7013039227,12.9888978826,17.186101477,18.5594404025,12.3633057212,20.4457774925,10.4819780923,,10.901992768,43.5302268213,
2000-02-25,14.4108791119,12.7765618593,16.8861113426,18.6284916484,12.0530297089,19.8082054091,10.4136402211,,10.8464647912,43.116841761,
2000-02-28,14.8465163281,12.819029064,16.9394429221,19.3036593852,12.2857367181,20.1632171374,10.7500728178,,11.1564959947,42.6098600833,
2000-02-29,15.1950261011,12.7280279111,17.1261034502,19.7102944994,12.2439687934,20.387816394,10.8236674483,,11.2351606285,43.5848248482,
2000-03-01,15.5725783551,12.6006262971,17.0327731861,19.4801236801,12.130598712,20.5616996895,10.9761134687,,11.7256577564,44.0216090628,
